title,description,category,duration,time_to_deadline,description_length,is_urgent,priority
Організувати наради,Підготувати фінансовий звіт.,Робота,33,11.0,28,0,1
Відвідати спортзал для спорту,Пробігти 8 км.,Спорт,432,10.0,14,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,200,21.0,51,0,2
Завершити підготовка звіту,Організувати наради для команди.,Робота,466,8.0,32,0,3
Відвідати спортзал з родиною,Відвідати спортзал з родиною.,Особисте,329,27.0,29,0,2
Підготуватися до наради,Виконати завдання з математики.,Навчання,63,14.0,31,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,328,28.0,25,0,2
Спланувати поїздку до місто Білозерське,Дослідити місцеві визначні пам'ятки в селище Соледар.,Подорожі,186,6.0,53,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,177,0.0,18,1,3
Зробити підготовка звіту,Завершити проєктний аналіз перед 1985-01-09.,Робота,353,30.0,44,0,3
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,328,24.0,31,0,2
Організувати наради,Спланувати похід в кіно з друзями.,Особисте,469,2.0,34,0,2
Дослідити місцеві пам'ятки в селище Кам'янське,Забронювати готель.,Подорожі,420,22.0,19,0,2
Забронювати готель для вихідного дня,Спланувати похід в кіно з друзями.,Особисте,98,-1.0,34,1,3
Дослідити місцеві пам'ятки в селище Черкаси,Забронювати готель.,Подорожі,291,18.0,19,0,2
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,312,8.0,29,0,2
Виконати завдання з математики,Виконати завдання з математики.,Навчання,433,0.0,31,1,3
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,200,16.0,25,0,2
Вивчити 17 нових слів,Виконати завдання з математики.,Навчання,407,21.0,31,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 2009-06-22.,Робота,401,9.0,44,0,3
Зібрати речі для поїздка,Спланувати поїздку до місто Біла Церква.,Подорожі,420,23.0,40,0,2
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,64,5.0,24,0,2
Створити презентацію на тему маркетингова кампанія,Підготуватися до наради.,Навчання,101,26.0,24,0,2
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,379,3.0,28,0,3
Пробігти 8 км,Тренування на біцепс.,Спорт,124,11.0,21,0,2
Вивчити 14 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,296,18.0,51,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,312,20.0,51,0,2
Відвідати спортзал для спорту,Зайнятися кардіо.,Спорт,385,16.0,17,0,2
Розрахувати бюджет на наради,Спланувати поїздку до село Березань.,Подорожі,261,4.0,36,0,2
Забронювати готель для вихідного дня,Забронювати готель для вихідного дня.,Особисте,299,26.0,37,0,2
Створити презентацію на тему маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,433,12.0,39,0,2
Дослідити місцеві пам'ятки в село Нетішин,Зібрати речі для поїздка.,Подорожі,392,25.0,25,0,2
Вивчити 16 нових слів,Виконати завдання з математики.,Навчання,383,22.0,31,0,2
Відвідати спортзал для спорту,Підготуватися до спортивні змагання.,Спорт,411,9.0,36,0,2
Пробігти 1 км,Відвідати спортзал для спорту.,Спорт,245,20.0,30,0,2
Спланувати похід в кіно з друзями,,Особисте,208,28.0,34,0,2
Спланувати похід в кіно з друзями,Відвідати спортзал з родиною.,Особисте,70,-1.0,29,1,3
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в селище Полтава.,Подорожі,59,20.0,53,0,1
Організувати наради,Підготувати фінансовий звіт.,Робота,379,-1.0,28,1,3
Підготуватися до наради,Прочитати розділ маркетингова кампанія.,Навчання,332,30.0,39,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,369,11.0,32,0,3
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,148,23.0,28,0,3
Написати email,Організувати наради для команди.,Робота,131,,32,0,3
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,238,12.0,30,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Ладижин.,Подорожі,178,14.0,36,0,2
Відвідати спортзал з родиною,Організувати наради.,Особисте,217,20.0,20,0,2
Дослідити місцеві пам'ятки в селище Хмільник,Розрахувати бюджет на наради.,Подорожі,195,7.0,29,0,2
Завершити підготовка звіту,Підготувати фінансовий звіт.,Робота,215,10.0,28,0,3
Підготуватися до спортивні змагання,Зайнятися кардіо.,Спорт,258,9.0,17,0,2
Спланувати поїздку до місто Канів,Зібрати речі для поїздка.,Подорожі,31,23.0,25,0,1
Виконати завдання з математики,Підготуватися до наради.,Навчання,66,22.0,24,0,2
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,221,3.0,43,0,3
Відвідати спортзал для спорту,Пробігти 4 км.,Спорт,335,24.0,14,0,2
Відвідати спортзал для спорту,,Спорт,328,19.0,30,0,2
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,408,24.0,51,0,2
Спланувати поїздку до хутір Волочиськ,Спланувати поїздку до хутір Кам'янка-Дніпровська.,Подорожі,424,,49,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,456,25.0,32,0,3
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,239,15.0,24,0,2
Зайнятися кардіо,Відвідати спортзал для спорту.,Спорт,105,-1.0,30,1,3
Розрахувати бюджет на наради,Спланувати поїздку до селище Бурштин.,Подорожі,443,20.0,37,0,2
Завершити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,354,3.0,50,0,3
Підготуватися до спортивні змагання,Підготуватися до спортивні змагання.,Спорт,172,,36,0,2
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,174,10.0,30,0,2
Забронювати готель для вихідного дня,Спланувати похід в кіно з друзями.,Особисте,182,3.0,34,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,59,15.0,32,0,1
Підготуватися до спортивні змагання,Тренування на біцепс.,Спорт,87,17.0,21,0,2
Організувати наради,Організувати наради.,Особисте,317,13.0,20,0,2
Вивчити 7 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,299,11.0,51,0,2
Відвідати спортзал для спорту,Тренування на біцепс.,Спорт,25,12.0,21,0,1
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,311,30.0,18,0,2
Зібрати речі для поїздка,Спланувати поїздку до хутір Середина-Буда.,Подорожі,202,1.0,42,0,3
Підготуватися до спортивні змагання,Тренування на біцепс.,Спорт,86,24.0,21,0,2
Відвідати спортзал для спорту,Тренування на біцепс.,Спорт,38,19.0,21,0,1
Забронювати готель,Розрахувати бюджет на наради.,Подорожі,148,2.0,29,0,2
Спланувати похід в кіно з друзями,Прибрати спортзал.,Особисте,201,27.0,18,0,2
Відвідати спортзал для спорту,Підготуватися до спортивні змагання.,Спорт,53,13.0,36,0,1
Відвідати спортзал для спорту,Тренування на біцепс.,Спорт,121,30.0,21,0,2
Забронювати готель,Забронювати готель.,Подорожі,266,9.0,19,0,2
Вивчити 13 нових слів,Виконати завдання з математики.,Навчання,480,28.0,31,0,2
Прибрати спортзал,Відвідати спортзал з родиною.,Особисте,301,4.0,29,0,2
Вивчити 18 нових слів,Підготуватися до наради.,Навчання,425,5.0,24,0,2
Зайнятися кардіо,Пробігти 4 км.,Спорт,48,11.0,14,0,1
Прочитати маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,91,11.0,51,0,2
Розрахувати бюджет на наради,Спланувати поїздку до село Корсунь-Шевченківський.,Подорожі,433,21.0,50,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,162,-1.0,51,1,3
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,23,,51,0,2
Підготуватися до наради,Виконати завдання з математики.,Навчання,122,9.0,31,0,2
Написати email,Підготувати звіт про маркетингова кампанія.,Робота,122,18.0,43,0,3
Зайнятися кардіо,Зайнятися кардіо.,Спорт,366,22.0,17,0,2
Вивчити 13 нових слів,Підготуватися до наради.,Навчання,83,28.0,24,0,2
Зібрати речі для поїздка,Забронювати готель.,Подорожі,252,25.0,19,0,2
Дослідити місцеві пам'ятки в село Куп'янськ,Зібрати речі для поїздка.,Подорожі,144,23.0,25,0,2
Розрахувати бюджет на наради,,Подорожі,21,13.0,29,0,1
Підготуватися до наради,Підготуватися до наради.,Навчання,332,26.0,24,0,2
Виконати завдання з математики,Створити презентацію на тему маркетингова кампанія.,Навчання,78,13.0,51,0,2
Підготуватися до спортивні змагання,Тренування на біцепс.,Спорт,219,9.0,21,0,2
Тренування на біцепс,Підготуватися до спортивні змагання.,Спорт,403,24.0,36,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Харків.,Подорожі,28,29.0,35,0,1
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,284,3.0,24,0,2
Організувати наради,Спланувати похід в кіно з друзями.,Особисте,426,8.0,34,0,2
Прибрати спортзал,Організувати наради.,Особисте,119,24.0,20,0,2
Зібрати речі для поїздка,Забронювати готель.,Подорожі,213,16.0,19,0,2
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,94,,31,0,2
Спланувати похід в кіно з друзями,Прибрати спортзал.,Особисте,323,21.0,18,0,2
Дослідити місцеві пам'ятки в хутір Кобеляки,Спланувати поїздку до місто Верхівцеве.,Подорожі,266,23.0,39,0,2
Створити презентацію на тему маркетингова кампанія,Підготуватися до наради.,Навчання,231,11.0,24,0,2
Дослідити місцеві пам'ятки в селище Умань,Забронювати готель.,Подорожі,238,9.0,19,0,2
Прочитати маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,374,0.0,39,1,3
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,59,9.0,20,0,1
Забронювати готель,Спланувати поїздку до село Дергачі.,Подорожі,163,18.0,35,0,2
Виконати завдання з математики,Вивчити 14 нових слів.,Навчання,297,12.0,22,0,2
Прочитати маркетингова кампанія,Вивчити 10 нових слів.,Навчання,377,,22,0,2
Дослідити місцеві пам'ятки в селище Покровськ,Спланувати поїздку до хутір Шептицький.,Подорожі,219,13.0,39,0,2
Прибрати спортзал,Спланувати похід в кіно з друзями.,Особисте,469,1.0,34,0,3
Спланувати поїздку до село Долина,Зібрати речі для поїздка.,Подорожі,125,4.0,25,0,2
Пробігти 5 км,Пробігти 7 км.,Спорт,263,15.0,14,0,2
Відвідати спортзал для спорту,Пробігти 10 км.,Спорт,223,7.0,15,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,86,10.0,18,0,2
Тренування на біцепс,,Спорт,372,2.0,14,0,2
Виконати завдання з математики,Вивчити 8 нових слів.,Навчання,264,15.0,21,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,279,26.0,25,0,2
Забронювати готель,Дослідити місцеві визначні пам'ятки в селище Ічня.,Подорожі,393,12.0,50,0,2
Відвідати спортзал з родиною,Відвідати спортзал з родиною.,Особисте,280,29.0,29,0,2
Підготувати фінансовий звіт,Написати email клієнту щодо маркетингова кампанія.,Робота,385,5.0,50,0,3
Зайнятися кардіо,Підготуватися до спортивні змагання.,Спорт,19,17.0,36,0,1
Прочитати маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,464,6.0,51,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 1974-02-01.,Робота,342,25.0,44,0,3
Тренування на біцепс,Відвідати спортзал для спорту.,Спорт,304,25.0,30,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,165,15.0,25,0,2
Підготуватися до спортивні змагання,Тренування на біцепс.,Спорт,35,24.0,21,0,1
Вивчити 15 нових слів,Підготуватися до наради.,Навчання,163,19.0,24,0,2
Виконати завдання з математики,Створити презентацію на тему маркетингова кампанія.,Навчання,135,19.0,51,0,2
Зробити підготовка звіту,Завершити проєктний аналіз перед 1985-05-28.,Робота,327,6.0,44,0,3
Підготуватися до спортивні змагання,Пробігти 5 км.,Спорт,425,28.0,14,0,2
Спланувати поїздку до місто Тисмениця,Спланувати поїздку до місто Гола Пристань.,Подорожі,265,8.0,42,0,2
Відвідати спортзал з родиною,Відвідати спортзал з родиною.,Особисте,273,26.0,29,0,2
Прочитати маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,369,29.0,39,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,149,,32,0,3
Прибрати спортзал,Прибрати спортзал.,Особисте,113,10.0,18,0,2
Вивчити 6 нових слів,Виконати завдання з математики.,Навчання,417,0.0,31,1,3
Виконати завдання з математики,Вивчити 10 нових слів.,Навчання,358,9.0,22,0,2
Підготуватися до наради,Прочитати розділ маркетингова кампанія.,Навчання,365,26.0,39,0,2
Спланувати поїздку до місто Івано-Франківськ,Розрахувати бюджет на наради.,Подорожі,252,17.0,29,0,2
Підготуватися до спортивні змагання,Зайнятися кардіо.,Спорт,338,0.0,17,1,3
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в хутір Монастириська.,Подорожі,93,1.0,58,0,3
Зайнятися кардіо,Тренування на біцепс.,Спорт,213,16.0,21,0,2
Зібрати речі для поїздка,Спланувати поїздку до місто Моршин.,Подорожі,451,22.0,35,0,2
Створити презентацію на тему маркетингова кампанія,Підготуватися до наради.,Навчання,170,10.0,24,0,2
Пробігти 10 км,Тренування на біцепс.,Спорт,67,28.0,21,0,2
Виконати завдання з математики,Прочитати розділ маркетингова кампанія.,Навчання,463,2.0,39,0,2
Написати email,Завершити проєктний аналіз перед 2019-08-27.,Робота,38,8.0,44,0,1
Пробігти 1 км,Зайнятися кардіо.,Спорт,24,7.0,17,0,1
Дослідити місцеві пам'ятки в селище Хирів,Зібрати речі для поїздка.,Подорожі,390,26.0,25,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,346,16.0,21,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,87,18.0,32,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,70,27.0,32,0,2
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,448,26.0,43,0,3
Створити презентацію на тему маркетингова кампанія,Вивчити 13 нових слів.,Навчання,465,4.0,22,0,2
Спланувати похід в кіно з друзями,Забронювати готель для вихідного дня.,Особисте,221,19.0,37,0,2
Підготуватися до спортивні змагання,Зайнятися кардіо.,Спорт,365,12.0,17,0,2
Зайнятися кардіо,Відвідати спортзал для спорту.,Спорт,436,17.0,30,0,2
Завершити підготовка звіту,Підготувати фінансовий звіт.,Робота,263,17.0,28,0,3
Вивчити 11 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,397,21.0,51,0,2
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,237,18.0,43,0,3
Прочитати маркетингова кампанія,Виконати завдання з математики.,Навчання,221,26.0,31,0,2
Завершити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,270,28.0,50,0,3
Прибрати спортзал,Спланувати похід в кіно з друзями.,Особисте,311,9.0,34,0,2
Спланувати похід в кіно з друзями,Спланувати похід в кіно з друзями.,Особисте,359,4.0,34,0,2
Спланувати поїздку до селище Устилуг,Забронювати готель.,Подорожі,58,9.0,19,0,1
Тренування на біцепс,Зайнятися кардіо.,Спорт,273,5.0,17,0,2
Зробити підготовка звіту,Завершити проєктний аналіз перед 2011-05-19.,Робота,428,18.0,44,0,3
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в хутір Івано-Франківськ.,Подорожі,307,20.0,61,0,2
Прибрати спортзал,Забронювати готель для вихідного дня.,Особисте,336,29.0,37,0,2
Виконати завдання з математики,Підготуватися до наради.,Навчання,281,17.0,24,0,2
Спланувати поїздку до село Харків,Зібрати речі для поїздка.,Подорожі,180,24.0,25,0,2
Підготувати фінансовий звіт,Написати email клієнту щодо маркетингова кампанія.,Робота,455,21.0,50,0,3
Організувати наради,Прибрати спортзал.,Особисте,286,17.0,18,0,2
Відвідати спортзал з родиною,Спланувати похід в кіно з друзями.,Особисте,30,22.0,34,0,1
Зробити підготовка звіту,Організувати наради для команди.,Робота,202,19.0,32,0,3
Організувати наради,Прибрати спортзал.,Особисте,100,21.0,18,0,2
Спланувати поїздку до місто Новогродівка,Дослідити місцеві визначні пам'ятки в село Хрестівка.,Подорожі,96,-1.0,53,1,3
Зробити підготовка звіту,Організувати наради для команди.,Робота,349,15.0,32,0,3
Організувати наради,Організувати наради.,Особисте,477,14.0,20,0,2
Спланувати поїздку до село Бахчисарай,Зібрати речі для поїздка.,Подорожі,183,0.0,25,1,3
Дослідити місцеві пам'ятки в хутір Борщів,Забронювати готель.,Подорожі,208,12.0,19,0,2
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,17,26.0,25,0,1
Спланувати поїздку до місто Білгород-Дністровський,Забронювати готель.,Подорожі,326,1.0,19,0,3
Забронювати готель,Зібрати речі для поїздка.,Подорожі,115,4.0,25,0,2
Організувати наради,Прибрати спортзал.,Особисте,470,27.0,18,0,2
Підготуватися до спортивні змагання,Зайнятися кардіо.,Спорт,451,6.0,17,0,2
Відвідати спортзал для спорту,Зайнятися кардіо.,Спорт,251,19.0,17,0,2
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,269,11.0,30,0,2
Пробігти 2 км,Тренування на біцепс.,Спорт,303,27.0,21,0,2
Забронювати готель,Розрахувати бюджет на наради.,Подорожі,438,16.0,29,0,2
Підготувати фінансовий звіт,Написати email клієнту щодо маркетингова кампанія.,Робота,389,17.0,50,0,3
Вивчити 17 нових слів,Вивчити 6 нових слів.,Навчання,291,23.0,21,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,319,7.0,18,0,2
Відвідати спортзал з родиною,Відвідати спортзал з родиною.,Особисте,269,17.0,29,0,2
Вивчити 13 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,174,30.0,51,0,2
Зробити підготовка звіту,Завершити проєктний аналіз перед 2015-02-12.,Робота,62,30.0,44,0,2
Спланувати поїздку до хутір Свалява,Розрахувати бюджет на наради.,Подорожі,58,13.0,29,0,1
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в хутір Біляївка.,Подорожі,108,2.0,53,0,2
Створити презентацію на тему маркетингова кампанія,Вивчити 13 нових слів.,Навчання,159,5.0,22,0,2
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в хутір Чистякове.,Подорожі,235,4.0,54,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,193,4.0,51,0,2
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,438,26.0,25,0,2
Зайнятися кардіо,Тренування на біцепс.,Спорт,31,5.0,21,0,2
Забронювати готель,Спланувати поїздку до село Вільногірськ.,Подорожі,39,26.0,40,0,1
Написати email,Підготувати фінансовий звіт.,Робота,42,4.0,28,0,2
Забронювати готель,Спланувати поїздку до селище Глобине.,Подорожі,50,2.0,37,0,2
Забронювати готель для вихідного дня,Забронювати готель для вихідного дня.,Особисте,66,27.0,37,0,2
Зробити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,198,5.0,43,0,3
Зробити підготовка звіту,Організувати наради для команди.,Робота,174,14.0,32,0,3
Спланувати поїздку до село Молочанськ,Розрахувати бюджет на наради.,Подорожі,476,18.0,29,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,249,26.0,25,0,2
Завершити підготовка звіту,Підготувати фінансовий звіт.,Робота,238,17.0,28,0,3
Спланувати поїздку до хутір Тульчин,Зібрати речі для поїздка.,Подорожі,159,4.0,25,0,2
Прибрати спортзал,Спланувати похід в кіно з друзями.,Особисте,39,0.0,34,1,3
Створити презентацію на тему маркетингова кампанія,,Навчання,297,5.0,51,0,2
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,238,28.0,29,0,2
Прочитати маркетингова кампанія,Вивчити 6 нових слів.,Навчання,237,25.0,21,0,2
Забронювати готель,Дослідити місцеві визначні пам'ятки в селище Овруч.,Подорожі,71,30.0,51,0,2
Виконати завдання з математики,Створити презентацію на тему маркетингова кампанія.,Навчання,399,21.0,51,0,2
Розрахувати бюджет на наради,Спланувати поїздку до хутір Пустомити.,Подорожі,224,6.0,38,0,2
Забронювати готель для вихідного дня,Забронювати готель для вихідного дня.,Особисте,256,6.0,37,0,2
Організувати наради,Відвідати спортзал з родиною.,Особисте,303,-1.0,29,1,3
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,395,11.0,28,0,3
Зробити підготовка звіту,Організувати наради для команди.,Робота,374,15.0,32,0,3
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,138,2.0,25,0,2
Виконати завдання з математики,Прочитати розділ маркетингова кампанія.,Навчання,331,5.0,39,0,2
Створити презентацію на тему маркетингова кампанія,Підготуватися до наради.,Навчання,122,15.0,24,0,2
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,238,0.0,25,1,3
Створити презентацію на тему маркетингова кампанія,,Навчання,338,2.0,39,0,2
Забронювати готель для вихідного дня,Забронювати готель для вихідного дня.,Особисте,260,29.0,37,0,2
Завершити підготовка звіту,Завершити проєктний аналіз перед 2003-10-04.,Робота,23,29.0,44,0,1
Організувати наради,Організувати наради.,Особисте,130,18.0,20,0,2
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,144,5.0,28,0,3
Написати email,Підготувати фінансовий звіт.,Робота,425,9.0,28,0,3
Зібрати речі для поїздка,,Подорожі,25,27.0,19,0,1
Спланувати поїздку до хутір Теплодар,Розрахувати бюджет на наради.,Подорожі,330,28.0,29,0,2
Прочитати маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,442,30.0,39,0,2
Написати email,,Робота,160,4.0,28,0,3
Підготуватися до наради,Вивчити 17 нових слів.,Навчання,243,16.0,22,0,2
Дослідити місцеві пам'ятки в село Покровськ,Забронювати готель.,Подорожі,262,19.0,19,0,2
